"","state","Income","Illiteracy","Murder","HS Grad","Life Exp"
"1","Alabama",3624,2.1,15.1,41.3,69.05
"2","Alaska",6315,1.5,11.3,66.7,69.31
"3","Arizona",4530,1.8,7.8,58.1,70.55
"4","Arkansas",3378,1.9,10.1,39.9,70.66
"5","California",5114,1.1,10.3,62.6,71.71
"6","Colorado",4884,0.7,6.8,63.9,72.06
"7","Connecticut",5348,1.1,3.1,56,72.48
"8","Delaware",4809,0.9,6.2,54.6,70.06
"9","Florida",4815,1.3,10.7,52.6,70.66
"10","Georgia",4091,2,13.9,40.6,68.54
"11","Hawaii",4963,1.9,6.2,61.9,73.6
"12","Idaho",4119,0.6,5.3,59.5,71.87
"13","Illinois",5107,0.9,10.3,52.6,70.14
"14","Indiana",4458,0.7,7.1,52.9,70.88
"15","Iowa",4628,0.5,2.3,59,72.56
"16","Kansas",4669,0.6,4.5,59.9,72.58
"17","Kentucky",3712,1.6,10.6,38.5,70.1
"18","Louisiana",3545,2.8,13.2,42.2,68.76
"19","Maine",3694,0.7,2.7,54.7,70.39
"20","Maryland",5299,0.9,8.5,52.3,70.22
"21","Massachusetts",4755,1.1,3.3,58.5,71.83
"22","Michigan",4751,0.9,11.1,52.8,70.63
"23","Minnesota",4675,0.6,2.3,57.6,72.96
"24","Mississippi",3098,2.4,12.5,41,68.09
"25","Missouri",4254,0.8,9.3,48.8,70.69
"26","Montana",4347,0.6,5,59.2,70.56
"27","Nebraska",4508,0.6,2.9,59.3,72.6
"28","Nevada",5149,0.5,11.5,65.2,69.03
"29","New Hampshire",4281,0.7,3.3,57.6,71.23
"30","New Jersey",5237,1.1,5.2,52.5,70.93
"31","New Mexico",3601,2.2,9.7,55.2,70.32
"32","New York",4903,1.4,10.9,52.7,70.55
"33","North Carolina",3875,1.8,11.1,38.5,69.21
"34","North Dakota",5087,0.8,1.4,50.3,72.78
"35","Ohio",4561,0.8,7.4,53.2,70.82
"36","Oklahoma",3983,1.1,6.4,51.6,71.42
"37","Oregon",4660,0.6,4.2,60,72.13
"38","Pennsylvania",4449,1,6.1,50.2,70.43
"39","Rhode Island",4558,1.3,2.4,46.4,71.9
"40","South Carolina",3635,2.3,11.6,37.8,67.96
"41","South Dakota",4167,0.5,1.7,53.3,72.08
"42","Tennessee",3821,1.7,11,41.8,70.11
"43","Texas",4188,2.2,12.2,47.4,70.9
"44","Utah",4022,0.6,4.5,67.3,72.9
"45","Vermont",3907,0.6,5.5,57.1,71.64
"46","Virginia",4701,1.4,9.5,47.8,70.08
"47","Washington",4864,0.6,4.3,63.5,71.72
"48","West Virginia",3617,1.4,6.7,41.6,69.48
"49","Wisconsin",4468,0.7,3,54.5,72.48
"50","Wyoming",4566,0.6,6.9,62.9,70.29
