"","state","factor","value"
"1","Alabama","Income",3624
"2","Alaska","Income",6315
"3","Arizona","Income",4530
"4","Arkansas","Income",3378
"5","California","Income",5114
"6","Colorado","Income",4884
"7","Connecticut","Income",5348
"8","Delaware","Income",4809
"9","Florida","Income",4815
"10","Georgia","Income",4091
"11","Hawaii","Income",4963
"12","Idaho","Income",4119
"13","Illinois","Income",5107
"14","Indiana","Income",4458
"15","Iowa","Income",4628
"16","Kansas","Income",4669
"17","Kentucky","Income",3712
"18","Louisiana","Income",3545
"19","Maine","Income",3694
"20","Maryland","Income",5299
"21","Massachusetts","Income",4755
"22","Michigan","Income",4751
"23","Minnesota","Income",4675
"24","Mississippi","Income",3098
"25","Missouri","Income",4254
"26","Montana","Income",4347
"27","Nebraska","Income",4508
"28","Nevada","Income",5149
"29","New Hampshire","Income",4281
"30","New Jersey","Income",5237
"31","New Mexico","Income",3601
"32","New York","Income",4903
"33","North Carolina","Income",3875
"34","North Dakota","Income",5087
"35","Ohio","Income",4561
"36","Oklahoma","Income",3983
"37","Oregon","Income",4660
"38","Pennsylvania","Income",4449
"39","Rhode Island","Income",4558
"40","South Carolina","Income",3635
"41","South Dakota","Income",4167
"42","Tennessee","Income",3821
"43","Texas","Income",4188
"44","Utah","Income",4022
"45","Vermont","Income",3907
"46","Virginia","Income",4701
"47","Washington","Income",4864
"48","West Virginia","Income",3617
"49","Wisconsin","Income",4468
"50","Wyoming","Income",4566
"51","Alabama","Illiteracy",2.1
"52","Alaska","Illiteracy",1.5
"53","Arizona","Illiteracy",1.8
"54","Arkansas","Illiteracy",1.9
"55","California","Illiteracy",1.1
"56","Colorado","Illiteracy",0.7
"57","Connecticut","Illiteracy",1.1
"58","Delaware","Illiteracy",0.9
"59","Florida","Illiteracy",1.3
"60","Georgia","Illiteracy",2
"61","Hawaii","Illiteracy",1.9
"62","Idaho","Illiteracy",0.6
"63","Illinois","Illiteracy",0.9
"64","Indiana","Illiteracy",0.7
"65","Iowa","Illiteracy",0.5
"66","Kansas","Illiteracy",0.6
"67","Kentucky","Illiteracy",1.6
"68","Louisiana","Illiteracy",2.8
"69","Maine","Illiteracy",0.7
"70","Maryland","Illiteracy",0.9
"71","Massachusetts","Illiteracy",1.1
"72","Michigan","Illiteracy",0.9
"73","Minnesota","Illiteracy",0.6
"74","Mississippi","Illiteracy",2.4
"75","Missouri","Illiteracy",0.8
"76","Montana","Illiteracy",0.6
"77","Nebraska","Illiteracy",0.6
"78","Nevada","Illiteracy",0.5
"79","New Hampshire","Illiteracy",0.7
"80","New Jersey","Illiteracy",1.1
"81","New Mexico","Illiteracy",2.2
"82","New York","Illiteracy",1.4
"83","North Carolina","Illiteracy",1.8
"84","North Dakota","Illiteracy",0.8
"85","Ohio","Illiteracy",0.8
"86","Oklahoma","Illiteracy",1.1
"87","Oregon","Illiteracy",0.6
"88","Pennsylvania","Illiteracy",1
"89","Rhode Island","Illiteracy",1.3
"90","South Carolina","Illiteracy",2.3
"91","South Dakota","Illiteracy",0.5
"92","Tennessee","Illiteracy",1.7
"93","Texas","Illiteracy",2.2
"94","Utah","Illiteracy",0.6
"95","Vermont","Illiteracy",0.6
"96","Virginia","Illiteracy",1.4
"97","Washington","Illiteracy",0.6
"98","West Virginia","Illiteracy",1.4
"99","Wisconsin","Illiteracy",0.7
"100","Wyoming","Illiteracy",0.6
"101","Alabama","Murder",15.1
"102","Alaska","Murder",11.3
"103","Arizona","Murder",7.8
"104","Arkansas","Murder",10.1
"105","California","Murder",10.3
"106","Colorado","Murder",6.8
"107","Connecticut","Murder",3.1
"108","Delaware","Murder",6.2
"109","Florida","Murder",10.7
"110","Georgia","Murder",13.9
"111","Hawaii","Murder",6.2
"112","Idaho","Murder",5.3
"113","Illinois","Murder",10.3
"114","Indiana","Murder",7.1
